koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_snr,koi_steff,koi_slogg,koi_srad,koi_disposition,period,duration,depth,prad,impact,snr,steff,slogg,srad,disposition,mission,prediction,confidence,confirmed_label
0.339069751,1.1516,53.2,2.09,0.958,38.2,5653.0,3.846,2.183,CANDIDATE,0.339069751,1.1516,53.2,2.09,0.958,38.2,5653.0,3.846,2.183,CANDIDATE,kepler,CANDIDATE,0.42233613,CANDIDATE
0.56681727,1.779,35.9,0.42,0.042,9.1,5481.0,4.629,0.708,FALSE POSITIVE,0.56681727,1.779,35.9,0.42,0.042,9.1,5481.0,4.629,0.708,CONFIRMED,kepler,CONFIRMED,0.5158569,CONFIRMED
1.081935491,5.136,202.9,0.99,0.0,33.9,4938.0,4.569,0.718,FALSE POSITIVE,1.081935491,5.136,202.9,0.99,0.0,33.9,4938.0,4.569,0.718,CONFIRMED,kepler,CONFIRMED,0.6489026,CONFIRMED
0.524175803,0.7648,236.8,1.27,0.318,22.4,5278.0,4.576,0.815,CONFIRMED,0.524175803,0.7648,236.8,1.27,0.318,22.4,5278.0,4.576,0.815,CONFIRMED,kepler,CONFIRMED,0.56074446,CONFIRMED
1.89129881,5.294,82.0,0.86,0.699,29.8,5806.0,4.507,0.893,FALSE POSITIVE,1.89129881,5.294,82.0,0.86,0.699,29.8,5806.0,4.507,0.893,CONFIRMED,kepler,CONFIRMED,0.49041,CONFIRMED
4.94330596,2.9334,126.2,1.41,0.928,27.7,5661.0,4.415,1.008,CONFIRMED,4.94330596,2.9334,126.2,1.41,0.928,27.7,5661.0,4.415,1.008,CONFIRMED,kepler,CONFIRMED,0.46473518,CONFIRMED
178.139072,9.654,678.8,2.25,0.042,20.3,5431.0,4.496,0.879,CONFIRMED,178.139072,9.654,678.8,2.25,0.042,20.3,5431.0,4.496,0.879,CONFIRMED,kepler,CONFIRMED,0.430407,CONFIRMED
0.619023176,1.496,77.9,0.79,0.387,8.9,5395.0,4.536,0.891,CANDIDATE,0.619023176,1.496,77.9,0.79,0.387,8.9,5395.0,4.536,0.891,CONFIRMED,kepler,CONFIRMED,0.54332745,CONFIRMED
120.00336404,3.3803,39596.0,15.08,0.78,131.1,4315.0,4.627,0.668,CANDIDATE,120.00336404,3.3803,39596.0,15.08,0.78,131.1,4315.0,4.627,0.668,CONFIRMED,kepler,CONFIRMED,0.37431395,CONFIRMED
4.067371428,5.8962,63447.0,68.81,1.51,1094.6,5385.0,4.532,0.75,FALSE POSITIVE,4.067371428,5.8962,63447.0,68.81,1.51,1094.6,5385.0,4.532,0.75,FALSE POSITIVE,kepler,FALSE POSITIVE,0.89377457,FALSE POSITIVE
1.540395781,1.6305,173.4,0.94,0.062,46.6,4955.0,4.592,0.735,FALSE POSITIVE,1.540395781,1.6305,173.4,0.94,0.062,46.6,4955.0,4.592,0.735,CONFIRMED,kepler,CONFIRMED,0.63121384,CONFIRMED
32.9045733,4.402,662.3,28.34,1.232,19.7,5780.0,4.438,1.0,FALSE POSITIVE,32.9045733,4.402,662.3,28.34,1.232,19.7,5780.0,4.438,1.0,FALSE POSITIVE,kepler,FALSE POSITIVE,0.37071854,FALSE POSITIVE
2.46353343,2.954,830.0,21.49,1.222,6.8,5541.0,4.587,0.777,FALSE POSITIVE,2.46353343,2.954,830.0,21.49,1.222,6.8,5541.0,4.587,0.777,CONFIRMED,kepler,CONFIRMED,0.36995772,CONFIRMED
22.91339043,3.94,5407.0,24.11,1.281,86.9,5451.0,4.663,0.6,FALSE POSITIVE,22.91339043,3.94,5407.0,24.11,1.281,86.9,5451.0,4.663,0.6,FALSE POSITIVE,kepler,FALSE POSITIVE,0.43041041,FALSE POSITIVE
1.541350116,3.29,378.0,1.5,0.272,51.7,5150.0,4.59,0.784,FALSE POSITIVE,1.541350116,3.29,378.0,1.5,0.272,51.7,5150.0,4.59,0.784,CONFIRMED,kepler,CONFIRMED,0.6442328,CONFIRMED
1.205412526,1.537,109.2,12.6,1.092,17.2,6292.0,4.32,1.122,FALSE POSITIVE,1.205412526,1.537,109.2,12.6,1.092,17.2,6292.0,4.32,1.122,FALSE POSITIVE,kepler,FALSE POSITIVE,0.40587574,FALSE POSITIVE
1.710316235,3.614,409.4,23.38,1.174,31.2,6147.0,4.435,1.096,FALSE POSITIVE,1.710316235,3.614,409.4,23.38,1.174,31.2,6147.0,4.435,1.096,FALSE POSITIVE,kepler,FALSE POSITIVE,0.38427755,FALSE POSITIVE
23.9210408,5.174,158.3,3.01,0.936,21.9,7121.0,4.031,1.972,CONFIRMED,23.9210408,5.174,158.3,3.01,0.936,21.9,7121.0,4.031,1.972,FALSE POSITIVE,kepler,FALSE POSITIVE,0.3985411,FALSE POSITIVE
9.03326435,2.857,610.7,1.96,0.455,18.3,5311.0,4.588,0.788,CONFIRMED,9.03326435,2.857,610.7,1.96,0.455,18.3,5311.0,4.588,0.788,CONFIRMED,kepler,CONFIRMED,0.5690791,CONFIRMED
356.535835,5.467,3113.0,28.27,1.281,25.7,5385.0,4.532,0.75,FALSE POSITIVE,356.535835,5.467,3113.0,28.27,1.281,25.7,5385.0,4.532,0.75,FALSE POSITIVE,kepler,FALSE POSITIVE,0.3767841,FALSE POSITIVE
3.490785878,1.4513,336.8,1.32,0.116,32.7,5496.0,4.618,0.725,CONFIRMED,3.490785878,1.4513,336.8,1.32,0.116,32.7,5496.0,4.618,0.725,CONFIRMED,kepler,CONFIRMED,0.5178294,CONFIRMED
1.92149487,1.891,1006.0,79.14,1.29,11.6,6831.0,3.959,2.247,FALSE POSITIVE,1.92149487,1.891,1006.0,79.14,1.29,11.6,6831.0,3.959,2.247,FALSE POSITIVE,kepler,FALSE POSITIVE,0.47351813,FALSE POSITIVE
1.093665854,1.4399,218.4,1.29,0.174,33.5,5845.0,4.541,0.874,CONFIRMED,1.093665854,1.4399,218.4,1.29,0.174,33.5,5845.0,4.541,0.874,CONFIRMED,kepler,CONFIRMED,0.41209373,CONFIRMED
141.608555,7.685,1263.1,2.98,0.399,43.3,5083.0,4.512,0.844,CANDIDATE,141.608555,7.685,1263.1,2.98,0.399,43.3,5083.0,4.512,0.844,CONFIRMED,kepler,CONFIRMED,0.49817348,CONFIRMED
3.6092231,2.8,52.4,0.68,0.364,4.4,6032.0,4.508,0.929,CANDIDATE,3.6092231,2.8,52.4,0.68,0.364,4.4,6032.0,4.508,0.929,CONFIRMED,kepler,CONFIRMED,0.42754441,CONFIRMED
12.4247333,16.828,40.5,1.47,0.656,19.3,6632.0,3.86,2.193,FALSE POSITIVE,12.4247333,16.828,40.5,1.47,0.656,19.3,6632.0,3.86,2.193,CANDIDATE,kepler,CANDIDATE,0.50417745,CANDIDATE
11.4927112,7.764,291.5,25.01,1.212,18.7,6198.0,4.464,1.005,CANDIDATE,11.4927112,7.764,291.5,25.01,1.212,18.7,6198.0,4.464,1.005,CONFIRMED,kepler,CONFIRMED,0.38003397,CONFIRMED
70.7511986,6.198,858.1,27.74,1.24,24.1,5771.0,4.4,0.936,FALSE POSITIVE,70.7511986,6.198,858.1,27.74,1.24,24.1,5771.0,4.4,0.936,CONFIRMED,kepler,CONFIRMED,0.37498057,CONFIRMED
116.583183,5.8,819.0,2.91,0.586,8.7,5738.0,4.426,0.981,CONFIRMED,116.583183,5.8,819.0,2.91,0.586,8.7,5738.0,4.426,0.981,CONFIRMED,kepler,CONFIRMED,0.45297804,CONFIRMED
175.13892,10.767,634.5,3.06,0.07,17.9,5497.0,4.243,1.241,CONFIRMED,175.13892,10.767,634.5,3.06,0.07,17.9,5497.0,4.243,1.241,CONFIRMED,kepler,CONFIRMED,0.4790767,CONFIRMED
1.302061421,1.8238,1046.1,92.86,1.273,29.5,7757.0,3.837,2.783,FALSE POSITIVE,1.302061421,1.8238,1046.1,92.86,1.273,29.5,7757.0,3.837,2.783,FALSE POSITIVE,kepler,FALSE POSITIVE,0.6425674,FALSE POSITIVE
55.25178622,6.094,39874.0,27.32,0.978,585.0,5793.0,4.561,0.832,FALSE POSITIVE,55.25178622,6.094,39874.0,27.32,0.978,585.0,5793.0,4.561,0.832,FALSE POSITIVE,kepler,FALSE POSITIVE,0.7888899,FALSE POSITIVE
5.548250634,6.06772,42873.0,21.49,0.296,1170.5,6124.0,4.455,1.028,FALSE POSITIVE,5.548250634,6.06772,42873.0,21.49,0.296,1170.5,6124.0,4.455,1.028,FALSE POSITIVE,kepler,FALSE POSITIVE,0.7368181,FALSE POSITIVE
4.442520831,2.4779,531.5,3.98,0.966,100.3,6496.0,4.272,1.33,FALSE POSITIVE,4.442520831,2.4779,531.5,3.98,0.966,100.3,6496.0,4.272,1.33,FALSE POSITIVE,kepler,FALSE POSITIVE,0.35125187,FALSE POSITIVE
1.339670241,1.895,28.6,1.27,0.602,21.7,8867.0,3.988,2.245,FALSE POSITIVE,1.339670241,1.895,28.6,1.27,0.602,21.7,8867.0,3.988,2.245,FALSE POSITIVE,kepler,FALSE POSITIVE,0.77671045,FALSE POSITIVE
2.685223546,4.0632,5494.6,28.98,1.28,238.7,5552.0,4.62,0.719,FALSE POSITIVE,2.685223546,4.0632,5494.6,28.98,1.28,238.7,5552.0,4.62,0.719,FALSE POSITIVE,kepler,FALSE POSITIVE,0.44384003,FALSE POSITIVE
1.99042642,3.083,133.8,1.17,0.067,25.3,6198.0,4.464,1.005,FALSE POSITIVE,1.99042642,3.083,133.8,1.17,0.067,25.3,6198.0,4.464,1.005,CONFIRMED,kepler,CONFIRMED,0.48157784,CONFIRMED
67.230028,25.01,379.1,2.44,0.938,39.5,6157.0,4.418,1.016,FALSE POSITIVE,67.230028,25.01,379.1,2.44,0.938,39.5,6157.0,4.418,1.016,FALSE POSITIVE,kepler,FALSE POSITIVE,0.7131092,FALSE POSITIVE
0.805259637,0.9779,341.8,1.93,0.332,50.2,6257.0,4.454,1.022,FALSE POSITIVE,0.805259637,0.9779,341.8,1.93,0.332,50.2,6257.0,4.454,1.022,CANDIDATE,kepler,CANDIDATE,0.3645078,CANDIDATE
75.3787816,5.268,387.7,1.6,0.046,30.1,5061.0,4.488,0.841,FALSE POSITIVE,75.3787816,5.268,387.7,1.6,0.046,30.1,5061.0,4.488,0.841,CONFIRMED,kepler,CONFIRMED,0.6236067,CONFIRMED
2.464160779,2.427,116.7,36.93,1.169,27.3,5238.0,3.84,1.883,FALSE POSITIVE,2.464160779,2.427,116.7,36.93,1.169,27.3,5238.0,3.84,1.883,CONFIRMED,kepler,CONFIRMED,0.41007438,CONFIRMED
0.566781152,3.995,133.4,0.54,0.427,24.9,3725.0,4.787,0.46,FALSE POSITIVE,0.566781152,3.995,133.4,0.54,0.427,24.9,3725.0,4.787,0.46,CONFIRMED,kepler,CONFIRMED,0.52269864,CONFIRMED
13.0267964,0.785,356.6,2.08,0.93,11.4,5083.0,4.512,0.844,CONFIRMED,13.0267964,0.785,356.6,2.08,0.93,11.4,5083.0,4.512,0.844,CONFIRMED,kepler,CONFIRMED,0.5684929,CONFIRMED
4.93129874,1.8626,676.1,21.42,1.224,31.7,5457.0,4.508,0.779,FALSE POSITIVE,4.93129874,1.8626,676.1,21.42,1.224,31.7,5457.0,4.508,0.779,CONFIRMED,kepler,CONFIRMED,0.416812,CONFIRMED
5.59187448,1.6782,236.4,104.18,0.82,31.9,3915.0,1.173,58.325,FALSE POSITIVE,5.59187448,1.6782,236.4,104.18,0.82,31.9,3915.0,1.173,58.325,FALSE POSITIVE,kepler,FALSE POSITIVE,0.78092915,FALSE POSITIVE
1.88665445,1.343,2098.0,43.81,1.269,15.8,6296.0,4.247,1.249,FALSE POSITIVE,1.88665445,1.343,2098.0,43.81,1.269,15.8,6296.0,4.247,1.249,FALSE POSITIVE,kepler,FALSE POSITIVE,0.43560314,FALSE POSITIVE
14.53682228,3.195,1032.3,73.15,1.068,40.8,4946.0,2.819,5.855,FALSE POSITIVE,14.53682228,3.195,1032.3,73.15,1.068,40.8,4946.0,2.819,5.855,CANDIDATE,kepler,CANDIDATE,0.55838513,CANDIDATE
172.820248,7.343,549.3,2.22,0.249,10.6,6174.0,4.499,0.939,CANDIDATE,172.820248,7.343,549.3,2.22,0.249,10.6,6174.0,4.499,0.939,CONFIRMED,kepler,CONFIRMED,0.43208382,CONFIRMED
1.72853003,3.819,99.1,2.43,0.776,24.0,6701.0,3.882,2.237,FALSE POSITIVE,1.72853003,3.819,99.1,2.43,0.776,24.0,6701.0,3.882,2.237,CANDIDATE,kepler,CANDIDATE,0.40537682,CANDIDATE
2.19068738,4.41,66.3,1.68,0.594,44.1,6208.0,3.973,1.975,FALSE POSITIVE,2.19068738,4.41,66.3,1.68,0.594,44.1,6208.0,3.973,1.975,CONFIRMED,kepler,CONFIRMED,0.46538895,CONFIRMED
372.16478,11.288,2074.0,5.68,0.7967,23.5,6194.0,4.415,1.129,FALSE POSITIVE,372.16478,11.288,2074.0,5.68,0.7967,23.5,6194.0,4.415,1.129,CANDIDATE,kepler,CANDIDATE,0.36940125,CANDIDATE
0.947730124,1.1171,152.5,2.82,0.473,18.0,9464.0,4.116,2.184,FALSE POSITIVE,0.947730124,1.1171,152.5,2.82,0.473,18.0,9464.0,4.116,2.184,FALSE POSITIVE,kepler,FALSE POSITIVE,0.8398704,FALSE POSITIVE
234.240739,12.925,464.1,3.41,0.944,27.7,5814.0,4.269,1.248,CONFIRMED,234.240739,12.925,464.1,3.41,0.944,27.7,5814.0,4.269,1.248,CONFIRMED,kepler,CONFIRMED,0.36280084,CONFIRMED
341.01495,5.12,386.0,1.72,0.087,6.9,5327.0,4.456,0.896,FALSE POSITIVE,341.01495,5.12,386.0,1.72,0.087,6.9,5327.0,4.456,0.896,CONFIRMED,kepler,CONFIRMED,0.42549965,CONFIRMED
